complaint,response,context
"Ранее я обращался в органы прокуратуры о нарушении работодателем трудового договора, а именно не выплате мне заработной платы за последний месяц и компенсации отпуска.  Однако ни ответа ни выплаты я не получил. Данные из электронной трудовой книжки Получено из СФР: 26.01.25  Наименование организации: ООО «В» . 06.04.2023: Приём Должность: Моторист-рулевой РТ-333 Структурное подразделение: Основное  09.10.2023: Увольнение Причина увольнения: Соглашение сторон.","Ваше обращение, поступившее в прокуратуру округа 11.02.2025, рассмотрено.  
В ходе проверки довод о наличии перед Вами со стороны ООО «В» задолженности по выплате заработной платы нашел свое подтверждение. 
В целях устранения допущенных нарушений прокуратурой округа директору ООО «В» внесено представление, которое находится на рассмотрении. 
О 	результатах 	его 	рассмотрения 	Вы 	будете проинформированы дополнительно.  ",Труд
"Бывший работодатель не выплачивает зарплату в течение трех месяцев, в размере 135000 рублей. Строительная компания ООО «С» Директор фирмы Б.","Ваше обращение, поступившее в прокуратуру округа 20.01.2025, рассмотрено. 
В ходе проверки довод о наличии перед Вами задолженности в  ООО «С» нашел свое подтверждение. 
	В 	целях 	устранения 	допущенных 	нарушений 	директору  
ООО «С» внесено представление, о результатах рассмотрения которого Вы будете проинформированы дополнительно. 
 ",Труд
"Здравствуйте, организация ООО «С» нарушает трудовой договор, отработал на вахте деньги еще не дали за октябрь, а по трудовому договору они должны выдать 15 зарплата, 30 аванс, а как оказалось аванс 15 в место зарплаты дали 5 т.р а остальные деньги дают по частям по 20т. р звонишь бухгалтеру она говорит денег нет можете подавать в суд или ждите, каждый день обещают, но нечего не происходит, прошу помогите разобраться.","Ваше обращение, поступившее в прокуратуру округа 27.12.2024 по вопросу нарушения трудового законодательства, рассмотрено. 
Прокуратурой округа в рамках проверки выявлены нарушения трудового законодательства, связанные с оплатой труда. 
По данному факту прокуратурой округа в адрес генерального директора ООО «С» 	27.01.2025 	внесено 	представление, 	о результатах рассмотрения, которого, Вы будете уведомлены в установленный законом срок. 
Кроме того, ответственное лицо вызвано в прокуратуру округа для вынесения постановления по делу об административном правонарушении по         ч. 6 ст. 5.27 КоАП РФ. ",Труд
хочу сообщить что мне не выплачивается заработная плата более двух месяцев а именно с 25 12 2024 г не оплачивали праздничные дни переработку которая составляет около 80 часов в месяц при графике сутки через двое . после смены юрид. адреса не было заключено доп соглашение к основному договору. обращался в трудовую инспекцию получил ответ что они не получили на запрос ответа от директора ооо «С» М.,"Прокуратурой округа Ваше обращение по вопросу невыплаты заработной платы, рассмотрено. 
Разъясняю, что соответствии с частью 4.1 статьи 11 Федерального закона от 02.05.2006 № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации» в случае, если текст письменного обращения не позволяет определить суть предложения, заявления или жалобы, ответ на обращение не дается и оно не подлежит направлению на рассмотрение в государственный орган, орган местного самоуправления или должностному лицу в соответствии с их компетенцией, о чем в течение семи дней со дня регистрации обращения сообщается гражданину, направившему обращение. 
В направленном Вами обращении от 20.02.2025 отсутствуют сведения, достаточные для его разрешения, в частности: ИНН организации, размер задолженности заработной платы. 
На основании указанного в соответствии с пунктом 2.9 Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации, утвержденной приказом Генеральной прокуратуры РФ от 30.01.2013 № 45, предлагаю Вам восполнить недостающие данные и повторно обратиться в прокуратуру по месту регистрации работодателя. 
В случае несогласия с принятым решением Вы вправе обжаловать его вышестоящему прокурору либо в суд. 
Одновременно разъясняю, что в соответствии с частью 1 статьи 3 Гражданского процессуального кодекса Российской Федерации заинтересованное лицо вправе в порядке, установленном законодательством о гражданском судопроизводстве, обратиться в суд за защитой нарушенных либо оспариваемых прав, свобод или законных интересов. 
 ",Труд
"Добрый день! Мы коллектив интерната просим произвести проверку данного учереждения Омская область, Омский район п. А  ул. Ц, «П.» творится полный беспридел в отношении работников данного учереждения, занижают заработную плату работникам, хотя на сайтах о работе указывают совершенно другую зарплату. На младший медицинский персонал возложили невыполнимые задачи. Постоянно меняются банки по зароботной плате, работники не успевают менять банковские карты, что бы получить зароботную плату без согласия работников. На младший мёд. персонал возложили всё , вплоть до помывки опекаемых, хотя раньше это делали совершенно другие люди ( ванщицы). Много задачь где должны быть ставки уборщиц, ванщиц и тд. Работники выполняют эти работы хотя этого не должны делать согласно должностным инструкциям. Доплат никаких нет. Неуважительное отношение к младшему медицинскому персоналу в отношении руководства интерната. Убедительная прозьба произвести проверку данного учереждения и виновных привлеч к ответственности.","Ваше обращение, поступившее в прокуратуру района 18.12.2024, рассмотрено. Проведена проверка, по результатам которой сообщаю следующее.  
В результате проведенной проверки установлено, что в штатное расписание включены следующие должности младшего медицинского персонала: ""Санитарка палатная (санитар палатный)"", ""Санитарка- ваннщица"". 
Приказом Министерства труда и социальной защиты Российской Федерации от 12 января 2016 года № 2н утвержден профессиональный стандарт ""Младший медицинский персонал"" (далее - профстандарт), в котором изложены требования к профессиональной деятельности для базовой профессии ""Санитар"", в связи с этим к этой категории относятся любые наименования должностей санитаров, в том числе ""Санитарка палатная"", ""Санитарка- ваннщица"". Профстандарт определяет обобщенные трудовые функции: санитарное содержание помещений, предназначенных для первичного или повторного врачебного приема, для госпитализации пациентов, непосредственная деятельность по уходу за пациентами (больными). В частности, профстандарт предусматривает, что работники из числа младшего медицинского персонала обязаны выполнять трудовые функции по санитарному содержанию помещений, оборудования, инвентаря, осуществлять профессиональный уход за пациентом. 
В связи с этим, в должностные инструкции, трудовые договоры санитара палатного (санитарки палатной), санитарок-ваннщиц включены обязанности по ежедневной влажной уборке палат, помещений, кабинетов с использованием дезинфицирующих и моющих средств, санитарной обработке, гигиеническому уходу за тяжелобольными пациентами (умывание, обтирание кожных покровов, полоскание полости рта), транспортировке и сопровождению пациентов, выполнению гигиенического туалета проживающих (гигиену полости рта, гигиену лица, тела) утром, вечером и при необходимости, проведению генеральных уборок в закрепленных комнатах не реже 1 раза в месяц и при необходимости согласно графику проведения генеральных уборок помещений в отделении и другое. 
Таким образом, санитарки палатные (санитары палатные) являются квалифицированными сотрудниками, функциональные обязанности которых, в соответствии с профстандартом ограничиваются не только уборкой, но и осуществлением квалифицированного ухода за получателями социальных услуг. 
В части доводов о смене кредитных организаций (банков) работающих в рамках ""зарплатных проектов"" сообщаю следующее. В 2024 году в учреждении действовали зарплатные проекты с ПАО Росбанк, ПАО Сбербанк, ПАО ОТПбанк, ПАО Промсвязьбанк. В конце 2024 года ПАО ""Росбанк"" завершил процедуру реорганизации (присоединение к ""Т-Банку"") в связи с чем по инициативе банка договор на зарплатный проект расторгнут. Взамен ПАО ""Росбанк"" заключен договор с ПАО ""ВТБ"". Таким образом, в настоящее время в учреждении действует 4 ""зарплатных проекта"". 
Дополнительно разъясняю, что в соответствии с ч. 3 ст. 136 Трудового кодекса Российской Федерации работник вправе указать в своём заявлении кредитную организацию, в которую должна быть переведена заработная плата, или заменить такую кредитную организацию в течении срока действия трудового договора. 
Фактов невыплаты/занижения учреждением заработной платы в ходе проведенной проверки не установлено. ",Труд
"Работала официально в организации с 2021г, ушла в дикретный отпуск, меня уволили по собственному желанию без моего ведома. Подписали за меня документы. Стоит запись в электронной трудовой.","УМВД России по г. Омску
Государственная инспекции труда Омской области
 
 
В соответствии со ст. 8 Федерального закона от 02.05.2006 № 59-ФЗ  «О порядке рассмотрения обращений граждан Российской Федерации»,  п. 3.5 Инструкции «О порядке рассмотрения обращений и приема граждан  в органах  прокуратуры Российской Федерации», утвержденной приказом Генерального прокурора Российской Федерации от 30.01.2013 № 45, направляю Вам копию обращения С., поступившего в прокуратуру округа,  для рассмотрения в соответствии с компетенцией. 
О принятом решении прошу уведомить заявителя в установленный законом срок. 
 ",Труд
"Между мной, В. (работник) 30.11.1955 г.р., и автономной некоммерческой организацией «Ф» заключен трудовой договор от 20.07.2023 № 28/2023 (далее – Трудовой договор), по условиям которого я принимаюсь на должность начальника команды по основному месту работы, приступаю к исполнению трудовых обязанностей 20.07.2023  (пункты 1.1., 1.3.-1.4. Трудового договора). Трудовой договор является срочным и действует в период с 20.07.2023 по 10.06.2024 (пункт 1.5. Трудового договора).
Согласно пункту 5.1. Трудового договора, работодатель устанавливает заработную плату работнику, состоящую из оклада в размере 80 000 (восемьдесят тысяч) рублей в месяц, а также районного коэффициента 1,15.
При этом, условия оплаты труда предполагают наличие премиальных выплат, а также иных стимулирующих выплат (пункты 5.2., 5.3. Трудового договора).
На основании соглашения от 06.04.2024 о расторжении трудового договора от 20.07.2023 № 28/2023 между мной и «Ф» прекращены трудовые отношения, последним днем работы является 06.04.2024 (пункт 2 соглашения).
Пунктом 4 указанного соглашения предусмотрено, что в связи  с расторжением трудового договора по соглашению сторон работодатель обязуется выплатить работнику:
1) причитающуюся ему заработную плату в размере 73 553,08 рублей после уплаты НДФЛ в день увольнения, 
2) денежную компенсацию в размере 166 215,54 рублей, которая будет выплачена в день увольнения,
3) премиальные в размере 375 000,00 рублей, которые будут выплачены в срок до 01.09.2024.
Письмом от 06.04.2024 № б/н «Ф» (работодателем) мне гарантирована выплата премии в размере 375 000,00 рублей в срок  до 01.09.2024.
Между тем, взятая АНО «Ф» на себя обязанность по выплате мне премии в срок до 01.09.2024 в установленный срок не исполнена, что стало поводом для предъявления в адрес «Ф» претензии от 02.09.2024 с требованием исполнить указанную обязанность, перечислив мне причитающиеся денежные средства в срок до 15.09.2024.
Данная претензия 03.09.2024 направлена по юридическому адресу  «Ф» ценным письмом с описью вложения и 09.09.2024 получена адресатом, что подтверждается уведомлением о вручении, а также отчетом об отслеживании АО «Почта России».
Претензия проигнорирована «Ф», причитающиеся мне на основании трудового договора, соглашения о его расторжении, а также гарантийного письма денежные средства «Ф» мне не выплачены вплоть до даты подачи настоящего обращения (09.12.2024).
Учитывая, что данная премиальная выплата установлена соглашением между мной и «Ф», она является обязательной к выплате и за задержку ее выплаты мне полагается компенсация, которая исчисляется  в порядке, предусмотренном статьей 236 Трудового кодекса Российской Федерации, а не статьей 395 Гражданского кодекса Российской Федерации, как указано в гарантийном письме.
В связи с чем, по состоянию на 08.12.2024 размер такой компенсации составляет 48 300,00 рублей:



На основании изложенного, прошу восстановить мои трудовые права, приняв исчерпывающий объем актов прокурорского реагирования, в том числе внесения руководителю АНО «Ф» представления, возбуждения дела об административном правонарушении по части 6  статьи 5.27 Кодекса Российской Федерации об административных правонарушениях, а в случае уклонения «Ф» от восстановления моих трудовых прав путем выплаты причитающейся мне премии, прошу Вас защитить мои трудовые права в исковом порядке  в соответствии со статьей 45 Гражданского процессуального кодекса Российской Федерации, поскольку я являюсь пенсионером и не могу самостоятельно защитить нарушенные права.
Информирую о готовности дать объяснения в прокуратуре Мотовилихинского района г. Перми (по месту моего жительства).

Приложение: 
1. Трудовой договор от 20.07.2023 № 28/2023 на 4 л.;
2. Соглашение о расторжении трудового договора от 06.04.2024 на 1 л.;
3. Гарантийное письмо от 06.04.2024 на 1 л.;
4. Расчетный лист на 1 л.;
5. Претензия от 02.09.2024 на 1 л.;
6. Опись вложения и уведомление о вручении на 1 л.;
7. Отчет АО «Почта России» об отслеживании отправления на 1 л.;
8. Документ, подтверждающий статус пенсионера на 2 л.

","

Ваше обращение, поступившее в прокуратуру округа, по факту нарушений Ваших трудовых прав АНО «Ф», рассмотрено.  
Нарушения, указанные в Вашем обращении, нашли свое подтверждение, проведенной проверкой в деятельности «Ф» выявлены нарушения Ваших трудовых прав. 
По фактам выявленных нарушений прокуратурой округа в адрес «Ф» внесено представление об устранении нарушений федерального законодательства, которое находится на рассмотрении. 
В соответствии с п. 6.2 Инструкции «О порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации», утвержденной приказом Генерального прокурора Российской Федерации от 30.01.2013 № 45, о результатах рассмотрения вышеуказанного акта прокурорского реагирования Вы дополнительно будете уведомлены прокуратурой округа. 
 
 ",Труд
"Здравствуйте. В период с 01.10.24-22.11.24 работала в ООО «С» вахтовым методом в Иркутской обл.
20.12.24 уволилась по собственному желанию.  На сегодняшний день за ноябрь месяц так и не выплатили заработную плату в общем размере. На телефонные звонки ген.деректор и руководитель проекта не отвечают . В связи с этим прошу вас разобраться в данной ситуации.","Ваше обращение, поступившее в прокуратуру Октябрьского административного округа г. Омска 27.02.2025, по факту невыплаты заработной платы рассмотрено. 
Проверкой установлено, что ООО «С» прекратило свою деятельность 09.07.2018. 
По данным ЕГРЮЛ организации с наименованием ООО «С» зарегистрированы на территории Тюменской области, г. Москвы. 
В связи с тем, что копия трудового договора с ООО «С» у Вас не сохранилась, ИНН организации в трудовой книжке не указан, достоверно установить Вашего работодателя не представляется возможным. 
28.03.2025 от Вас поступило заявление о прекращении проведении проверки в связи с выплатой заработной платы, отсутствием претензий к работодателю.  
Таким образом, в соответствии с п. 4.13 приказа Генерального прокурора Российской Федерации от 30.01.2013 № 45 «Об утверждении и введении в действие Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации» проверка по доводам Вашего обращения прекращена на основании Вашего заявления. 
При таких обстоятельствах оснований для принятия мер прокурорского реагирования не имеется.  
В случае несогласия с данным ответом Вы вправе обжаловать его вышестоящему прокурору и (или) в суд. ",Труд
Писал заявление на увольнение 7.12.2024.Уволен 10.12 2024 и до сих пор не был выплачен расчёт.отпусных выплат нет вообще.Трудовой договор на руки не выдавался. Заработную плату обещают одну а выплачивают намного меньше. Северных надбавок нет.,"Ваше обращение о невыплате заработной платы и другим вопросам    поступившее в прокуратуру Омской области, рассмотрено. 
  Разъясняю Вам, что в Вашем обращении отсутствуют сведения, достаточные для его разрешения (информация о работодателе, времени и месте осуществления трудовой деятельности и т.д.). 
С учетом изложенного, предлагаю восполнить данные о допущенных в отношении Вас нарушениях закона и повторно обратиться в прокуратуру области. ",Труд
"Данные заявителя: У. Паспорт: серия ХХХХ №ХХХХХХ, выдан УМВД РОССИИ ПО ОМСКОЙ ОБЛАСТИ, дата выдачи 19.11.2024 Адрес проживания. Омская область, Исилькульский район, с. К.,ул. Ц. д. 1. Заявление Я, воспользовался онлайн сервисом avito.ru, зашел объявление фирмы по подбору персонала Аутсорсинговая компания «О» ""ИП З "". Учредитель компании «О» является З., по факту роль управленческой деятельности отведена К. и директору П. 10.12.2024 года, через на avito.ru, размещённый от имени К., был трудоустроен на предприятие в Кормиловке вольнонаемным грузчиком. По документации ""ИП З"" выступает исполнителем, а Заказчиком ОАО «М». ""ИП З"" некий посредник, предоставляет персонал, получает деньги от Заказчика за проделанную работу персоналом. А уже персонал рассчитывает ""ИП З"".Через 2 с половиной месяца работы, столкнулся с нарушением трудового законодательства и одним словом хорошо отлаженной системе мошенничества в сфере по подбору персонала. Работал без нареканий, без прогулов и пропусков, ответвленно подходил к работе. 24.02.2025 отработал полную смену, что зафиксировано в табеле отработанного времени 9 часов. О чем есть документальное подтверждение на предприятии заказчика ОАО «М». Фабрика деньги за отработанное мной рабочие время перечислила ""ИП З"". 25.02.2025 г., по инициативе П., был оштрафован на 1000 рублей, причиной послужила шутка из интернета (видео ролик) направленная мной в рабочую группу. Данная ситуация меня возмутила, и я сообщил, что прекращаю трудовую деятельность с данной компанией, о чем сообщил в рабочей группе в 7.08 утра. Только вечером, 25.02.2025 г., К. ответила мне, что выплат за 24.02.2024 г. не будет, так как я оштрафован за так называемый «невыход». Денежные средства за отработанное время 9 ч. от 24.02.2025 г., Заказчиком, перечислили на имя ИП З., а К., руководствуясь своими интересами не заплатила мне за отработанную смену, говоря простым языком присвоила мои заработанные деньги.Мне не заплатили деньги за отработанную смену 9 часов, в размере 4 000 т. рублей. П. и К., работая в офисе, даже представления не имеют, что такое отработать 9 часовую смену, загрузить 120 тонн муки на холоде, когда уже руки и ноги не слушаются, и по чей то прихоти остаться без заработной платы. Данная ситуация является нарушением статьей 136 ТК РФ и УК РФ Статья 145.1. Невыплата заработной платы, пенсий, стипендий, пособий и иных выплат. Решить данный вопрос с К. или с П., не представляется возможным, меня сразу удалили из рабочей группы и заблокировали мои номера телефона. Я имею кредитные обязательства и ответственность перед своей семьёй, и рассчитывал на эти деньги, действительно заработанные физическим трудом. Данный вид деятельности, являлся единственным моим видом дохода.Кроме меня в этот день «оштрафовали» за невыход еще двух человек Ч. и О. (скриншот штрафа прилагаю). За один только день, сделали деньги из «воздуха», 10 000 т, а сколько еще оштрафовали в других группах. Чтобы не потерять хоть какую-то возможность заработать, люди вынуждены терпеть и в оштрафованный день работать за бесплатно. По факту компания по подбору персонала Аутсорсинговая компания «О» ""ИП З "", обирает работяг.В фирме по подбору персонала Аутсорсинговая компания «О» ""ИП З "" набор персонала ведется без оформления, никакие отчисления в пенсионный фонд и налоговую не осуществляется, расчет ведется на карту, Заказчик переводит деньги на счет компании в полном объеме за проделанную работу, а деньги по выше перечисленным (штрафам) причинам до работников не доходят. Данные действия со стороны К. и директора П., уже можно трактовать как 159 УК РФ Мошеннические действия группой лиц, в сфере подбора персонала. Прошу, истребовать с компании по подбору персонала Аутсорсинговая компания «О» ""ИП З"" возместить денежные средства в размере 4 000 рублей, за отработанное время по табелю 9 часов, и моральный ущерб 10000 тысяч. Прошу инициировать проверку организации, на предмет незаконного обогащения, за счёт присвоения перечисленных денежных средств, предназначенных для оплаты работы вольно наемных сотрудников. Потребовать документальной проверки движения денежных средств с заказчиком и сотрудниками. И налоговой отчетности. ","Руководителю Государственной
инспекции труда в Омской области
 
 
В соответствии с положением ч. 3 ст. 8 Федерального закона от 02.05.2006 № 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации», п.п. 3.5 Инструкции о порядке рассмотрения обращений и приема граждан в органах прокуратуры Российской Федерации, утвержденной приказом Генерального прокурора РФ от 30.01.2013 № 45, направляю Вам обращение У. для рассмотрения по существу в рамках компетенции.   
О результатах проверки прошу уведомить заявителя и прокуратуру округа в установленный законом срок. Заявителю сообщаю для сведения. 
 ",Труд
"Обращение  Я, являюсь предпенсионером, работаю в ИП «В.» с 20.08.2024 года в должности руководитель службы персонала, Трудовой договор от 20.08.2024 года с должностным окладом 50 000 руб.  С 9 января 2024 года я устроилась в ИП «Б.» руководителем службы персонала, данный работодатель являлся поставщиком питания в школьные столовые, их было 23 городские школы, заработная плата составляла 50 000 руб. В августе данный работодатель передает эти же школы в соисполнение ИП «В.»
«В.» принимает меня к себе в штат на тех же условиях , что и в ИП «Б.» на эти же 23 городские школы. Контракты с этими школами закончились 31.12.2024 года. В середине декабря прошли торги и ИП «В.» не выиграла ни одной городской школы. 19.12.2024 года между мной и «В.» состоялся разговор, где она мне сказала о том, что для меня работы нет в её компании, я предложила меня сократить. Если бы мне в августе месяце вменили бы объекты Омской области я бы отказалась от такой работы. С этого момента все и началось.  В течение последнего месяца работодатель необоснованно стала принуждать меня к увольнению, а именно: издает приказ от 20.12.2024 года (копию прилагаю) и уведомление, об уменьшении оклада в 2 раза и выполнением трудовой функции по объектам Омской области, частично принадлежащими ей; вручает мне служебное поручение (копию прилагаю) также с объектами Омской области частично ей принадлежащими, частично другому индивидуальному предпринимателю. На служебное поручение в рамках выполнения своего функционала, мной были составлены 3 Докладные записки, в которых я пояснила что необходимо для выполнения данного поручения, а также подготовила отчет о проделанной работе (копию прилагаю). За этим последовало ухудшение моих условий труда, которые изложены в Докладной записке № 4 от 15.01.2025 года (копию прилагаю). Есть еще большая объяснительная на 4 страницах (копию прилагаю) в которой изложены факты подтверждающие желание работодателя расторгнуть со мной трудовой договор. «В.» является недобросовестным работодателем, в сентябре 2024 года я заболела, мне был выписан лист нетрудоспособности который был закрыт 13 сентября 2024 года. По вине работодателя, а именно не своевременная регистрация в СФР, лист нетрудоспособности мне был оплачен только в конце ноября как работодателем, так и СФР, благодаря моим 3 обращениям в СФР. На всем протяжении работы, я ни разу не получала расчетного листка по заработной плате. Трудовой договор составлен с нарушениями, на все мои устные возражения мне поясняли, что у них (в Консалтинговой группе) работают юристы с высшим образованием. Приказ о приеме отличается от трудового договора в разделе заработной платы. По Whatsapp запрашивала ПВТР в консалтинговой группе которая занимается кадровым документооборотом, для ознакомления, так мне его и не дали, также как и других ЛНА. Должностной инструкции у меня нет, моя трудовая функция складывалась из выполнения функций у другого работодателя, который передал им по договору соисполнения 23 городские школы. При приеме на работу вводного инструктажа, инструктажа на рабочем месте и т.д. не проводилось. В трудовом договоре отсутствует описание моего рабочего места так как проводить СОУТ здесь ни кто не собирается. 21.01.2025 года я через госуслуги заказала Лицевой счет, из которого поняла что отсутствует сумма начисленных страховых выплат за 4 квартал 2024 г. (копию прилагаю). Про индексацию заработной платы здесь и не слышали, она в этой организации работает в обратную сторону на уменьшение. На протяжении месяца я пыталась решить вопрос мирным путем, но все мои усилия безуспешны. Прошу Вас, разобраться в сложившейся ситуации и принять меры к восстановлению ущемленных моих прав. Заставить работодателя осуществлять свою деятельность в рамках закона, а не идти по пути понуждения к увольнению. При проверке прошу сохранить в тайне сведения о поступившем от меня обращении, чтобы в дальнейшем в отношении меня работодатель не выдвинул никаких санкций.","Ваше обращение по вопросу нарушения требований федерального законодательства, поступившее в прокуратуру Ленинского административного округа г. Омска 21.01.2025, рассмотрено. 
По результатам проведенной проверки по Вашему обращению сообщаю следующее. 
В соответствии со ст. 72 Трудового кодекса РФ изменение определенных сторонами условий трудового договора, в том числе перевод на другую работу, допускается только по соглашению сторон трудового договора, за исключением случаев, предусмотренных настоящим Кодексом. Соглашение об изменении определенных сторонами условий трудового договора заключается в письменной форме. 
20.08.2024 между Вами и ИП «В.» заключен трудовой договор, в соответствии с условиями которого Ваш должностной оклад составил 50 000 рублей. 
20.12.2024 ИП «В.» издан приказ об уменьшении оклада и изменении характера работы, в соответствии с которым с 01.03.2025 Ваш должностой оклад составляет 25 000 рублей, характер работы изменен на разъездной. 
Вместе с тем, в нарушение ст. 72 Трудового кодекса РФ дополнительное соглашение к трудовому договору ИП В. с Вами не заключено. 
	Кроме 	того, 	в 	ходе 	проведенной 	проверки 	в 	деятельности  
ИП В. выявлены нарушения требований Федерального закона от 28.12.2013 № 426-ФЗ «О специальной оценке условий труда», а также ст. 214 Трудового кодекса РФ, выразившиеся в отсутствии специальной оценки условий труда, непроведение вводного инструктажа на рабочем месте. 
По результатам выявленных нарушений прокуратурой округа  ИП «В.» внесено представление, которое находится на рассмотрении. 
Ответственное должностное лицо приглашено в прокуратуру округа для решения вопроса о вынесении постановления о возбуждении дела об административном правонарушении по ч. 1 ст. 5.27, по ч. 1 ст. 5.27.1 КоАП РФ. 
 
О результатах рассмотрения актов прокурорского реагирования Вы будете уведомлены дополнительно. 
	Одновременно, 	разъясняю 	Вам 	право, 	предусмотренное  
ст. 3 ГПК РФ на самостоятельное обращение в суды общей юрисдикции за защитой нарушенных либо оспариваемых прав, свобод или законных интересов. 
 
 ",Труд
